WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;601;602;603;604;605;606;607;608;609;610
6;3;12;Zarbo;Cengiz;12;12;2410;2410;39;36;60;112;1709;67;34;139;128;86
6;3;13;Heinelt;Norbert;16;13;2388;2388;18;35;139;307;136;89;17;1.550;45;52
6;3;14;Pintar;Marco;11;14;2242;2242;36;21;48;65;71;1.834;29;50;47;41
6;3;15;Schmid;Engelbert;13;15;2010;2010;143;105;24;54;34;51;1.463;43;57;36
6;3;16;Falk;Ulrich;15;16;1635;1635;30;29;36;35;1152;37;26;51;183;56
6;4;1;Celina;Kerstin;1;1;56420;38851;2512;3379;2952;3462;3586;3.948;2.753;4.595;17.569;11.664
6;4;2;Friedl;Patrick;2;2;37871;15861;476;748;674;609;923;941;605;868;10.017;22.010
6;4;3;Knoblach;Paul;12;3;17462;6397;480;713;662;819;739;519;415;11.065;956;1.094
6;4;4;Wagener;Stefan;8;4;16189;4663;2816;11526;50;50;46;122;1.215;72;136;156
6;4;5;Reder-Zirkelbach;Birgit;19;5;14464;3819;259;381;519;10645;273;222;256;525;497;887
6;4;6;Shah;Yatin;6;6;13200;5049;208;339;8151;2035;215;223;188;487;458;896
6;4;7;Plate;Hans;16;7;12406;2859;221;324;182;203;9547;182;189;455;537;566
6;4;8;Münch;Gregor;4;8;11883;2507;153;237;173;187;194;9.376;150;451;329;633
6;4;9;Goll;Volker;10;9;11342;950;10392;738;15;8;12;31;38;20;25;63
6;4;10;Schneider;Joachim;14;10;10131;406;45;155;11;31;26;27;9.725;32;31;48
6;4;11;Baier;Anja;7;11;8454;8454;379;507;459;400;295;3.640;434;472;819;1.049
6;4;12;Röder;Birgid;3;12;6785;6785;185;289;271;791;1438;203;241;1.301;913;1.153
6;4;13;Gößmann;Maria;5;13;5337;5337;228;356;234;296;317;525;289;441;949;1.702
6;4;14;Tippe;Karina;11;14;3071;3071;731;2075;19;18;10;32;87;17;34;48
6;4;15;Becker;Marion;9;15;2589;2589;67;561;15;23;36;19;1.710;27;42;89
6;4;16;Winter;Petra;17;16;2218;2218;29;60;1385;264;31;38;25;219;65;102
6;4;17;Selariu;Marc;18;17;2135;2135;82;130;103;128;183;132;99;166;256;856
6;4;18;Bergmann;Tatjana;15;18;1823;1823;1270;230;22;17;33;30;56;43;48;74
6;4;19;Eckardt;Oliver;13;19;758;758;31;72;87;295;31;23;21;62;61;75
6;5;1;Kaltenhauser;Dr. Helmut;1;1;13766;9476;4290;1857;730;812;731;771;822;964;1.118;1.671
6;5;2;Fischer;Wolfram;3;2;6957;2102;86;66;148;108;305;142;67;193;987;4.855
6;5;3;Kolb;Peter;7;3;6486;2648;1323;3838;74;81;83;152;534;103;136;162
6;5;4;Kuhl;Wolfgang;2;4;6381;1891;562;75;56;67;116;277;57;115;4.490;566
6;5;5;Schenk Graf von Stauffenberg;Karl;4;5;4881;1557;157;134;234;3324;133;109;84;171;212;323
6;5;6;Sander;Peter;5;6;4202;1065;127;116;152;102;80;3.137;79;88;129;192
6;5;7;Zimmermann;Frank;6;7;3989;558;70;65;41;45;43;103;3.431;47;70;74
6;5;8;Hofstetter;Dr. Hans-Joachim;8;8;3913;952;70;72;2961;240;52;69;39;159;83;168
6;5;9;Müller;Hans;9;9;3542;603;43;62;51;79;2939;67;52;65;71;113
6;5;10;Bock;Gunnar;10;10;3443;560;14;22;156;131;126;22;11;2.883;44;34
6;5;11;Schenkel;Dr. Astrid;13;11;3042;3042;108;149;158;105;247;263;80;122;655;1.155
6;5;12;Linduschka;Dr. Heinz;12;12;1764;1764;74;115;18;19;27;31;1.343;27;50;60
6;5;13;Rausch;Hartmut;14;13;1374;1374;40;40;372;458;85;75;54;93;103;54
6;5;14;Vorbeck;Edda;16;14;1270;1270;35;38;141;119;82;32;35;627;64;97
6;5;15;Pascher;Harald;15;15;1205;1205;14;18;17;1009;32;15;18;24;22;36
6;5;16;Schneider;Thilo;19;16;1165;1165;204;755;17;9;18;16;86;10;24;26
6;5;17;Jannek;Werner;11;17;875;875;33;38;31;24;30;504;63;19;66;67
6;5;18;Betz;Patrick-Daniel;17;18;868;868;532;110;29;11;10;89;24;12;26;25
6;5;19;Brumme;Dr. Holm;18;19;543;543;18;28;25;18;38;35;13;30;236;102
6;6;1;Striesow;Robert;1;1;10389;7031;496;626;757;1101;657;676;551;3.358;759;1.408
