id;jahr;vorname;name;partei
1850709;2018;Fatimah;Brendecke;1307
1850710;2018;Werner;Braungardt;1307
1850711;2018;Rafael;Bogacki;1307
1850712;2018;Jonas;Peppenauer;1307
1850801;2018;Jürgen;Osterlänger;1308
1850802;2018;Frank;Höppel;1308
1850803;2018;Günther;Brendle-Behnisch;1308
1850804;2018;Roland;Wolkersdorfer;1308
1850805;2018;Reinhard;Ebert;1308
1850806;2018;Hans;Anschütz;1308
1850807;2018;Manfred;Reinhart;1308
1850808;2018;Christian;Rechholz;1308
1850809;2018;Franz;Stryz;1308
1850810;2018;Ludwig;Hager;1308
1850811;2018;Claudia;Zankl;1308
1850812;2018;Dr. Krzysztof;Malowaniec;1308
1850813;2018;Norbert;Spiegel;1308
1850814;2018;Paul;Sichermann;1308
1850815;2018;Maria;Hetzel;1308
1850816;2018;Simon;Scherer;1308
1850817;2018;Thomas;Schrollinger;1308
1850818;2018;Christian;Stadelmann;1308
1850819;2018;Johannes;Maibom;1308
1850820;2018;Leif;Grahn;1308
1850821;2018;Martin;Klein;1308
1850822;2018;Daniela;May;1308
1850823;2018;Christian;Ullmann;1308
1850824;2018;Heinrich;Ott;1308
1850901;2018;Matthias;Windisch;1309
1850902;2018;Florian;Betz;1309
1850903;2018;Hilmar;Vogel;1309
1850904;2018;Jürgen;Purzner;1309
1850905;2018;Markus;Wanger;1309
1850906;2018;Stefan;Warsinke;1309
1850907;2018;Michael;Ceglar;1309
1850908;2018;Peter;Reitmaier;1309
1850909;2018;Erich;Turnwald-Kurtz;1309
1850910;2018;Wolfgang;Rank;1309
1850911;2018;Hayo;Körber;1309
1850912;2018;Daniel;Radojevic;1309
1851001;2018;Robert;Gattenlöhner;1310
1851002;2018;Klaus;Wagner;1310
1851003;2018;Andreas;Brandl;1310
1851004;2018;Paul;Trutz;1310
1851005;2018;Dr. David;Bartlitz;1310
1851006;2018;Karola;Kistler;1310
1851007;2018;Carola;Ackermann;1310
1851008;2018;Martin;Wagner;1310
1851009;2018;Ulrich;Reinwald;1310
1851010;2018;Werner;Bloos;1310
1851011;2018;Bianka;Turinsky;1310
1851012;2018;Elke;Gattenlöhner;1310
1851013;2018;Klaus;Sommerkorn;1310
1851014;2018;Edeltraud;Haas;1310
1851015;2018;Ralph;Zagel;1310
1851016;2018;Harald;Hirsch;1310
1851017;2018;Regina;Raber;1310
1851018;2018;Marco;Dorsch;1310
1851019;2018;Roland;Zehner;1310
1851020;2018;Christian;Grupe;1310
1851021;2018;Olga;Nikol;1310
