jahr;stimmen;stimmkreis;kandidat;partei
2018;177;505;1850118;1301
2018;113;506;1850118;1301
2018;78;507;1850118;1301
2018;79;508;1850118;1301
2018;966;509;1850118;1301
2018;510;510;1850118;1301
2018;103;511;1850118;1301
2018;151;512;1850118;1301
2018;52;501;1850119;1301
2018;153;502;1850119;1301
2018;38;503;1850119;1301
2018;35;504;1850119;1301
2018;40;505;1850119;1301
2018;43;506;1850119;1301
2018;349;507;1850119;1301
2018;1793;508;1850119;1301
2018;91;509;1850119;1301
2018;85;510;1850119;1301
2018;59;511;1850119;1301
2018;37;512;1850119;1301
2018;17;501;1850120;1301
2018;1068;502;1850120;1301
2018;28;503;1850120;1301
2018;16;504;1850120;1301
2018;24;505;1850120;1301
2018;25;506;1850120;1301
2018;28;507;1850120;1301
2018;10;508;1850120;1301
2018;19;509;1850120;1301
2018;14;510;1850120;1301
2018;337;511;1850120;1301
2018;53;512;1850120;1301
2018;120;501;1850121;1301
2018;614;502;1850121;1301
2018;108;503;1850121;1301
2018;56;504;1850121;1301
2018;35;505;1850121;1301
2018;32;506;1850121;1301
2018;22;507;1850121;1301
2018;21;508;1850121;1301
2018;44;509;1850121;1301
2018;39;510;1850121;1301
2018;45;511;1850121;1301
2018;35;512;1850121;1301
2018;98;501;1850122;1301
2018;345;502;1850122;1301
2018;87;503;1850122;1301
2018;126;504;1850122;1301
2018;47;505;1850122;1301
2018;43;506;1850122;1301
2018;49;507;1850122;1301
2018;29;508;1850122;1301
2018;77;509;1850122;1301
2018;41;510;1850122;1301
2018;46;511;1850122;1301
2018;47;512;1850122;1301
2018;66;501;1850123;1301
2018;262;502;1850123;1301
2018;164;503;1850123;1301
2018;56;504;1850123;1301
2018;27;505;1850123;1301
2018;30;506;1850123;1301
2018;36;507;1850123;1301
2018;28;508;1850123;1301
2018;56;509;1850123;1301
2018;66;510;1850123;1301
2018;28;511;1850123;1301
2018;34;512;1850123;1301
2018;9;501;1850124;1301
2018;32;502;1850124;1301
2018;11;503;1850124;1301
2018;10;504;1850124;1301
2018;21;505;1850124;1301
2018;13;506;1850124;1301
2018;102;507;1850124;1301
2018;158;508;1850124;1301
2018;22;509;1850124;1301
2018;10;510;1850124;1301
2018;8;511;1850124;1301
2018;10;512;1850124;1301
2018;2300;501;1850201;1302
2018;1805;502;1850201;1302
2018;1974;503;1850201;1302
2018;1832;504;1850201;1302
2018;2385;505;1850201;1302
2018;2603;506;1850201;1302
2018;2364;507;1850201;1302
2018;1488;508;1850201;1302
2018;4957;510;1850201;1302
2018;2354;511;1850201;1302
2018;1907;512;1850201;1302
2018;754;501;1850202;1302
2018;571;502;1850202;1302
2018;505;503;1850202;1302
2018;482;504;1850202;1302
2018;541;505;1850202;1302
2018;583;506;1850202;1302
2018;4139;508;1850202;1302
2018;3436;509;1850202;1302
2018;673;510;1850202;1302
2018;774;511;1850202;1302
2018;557;512;1850202;1302
2018;2145;501;1850203;1302
2018;1425;502;1850203;1302
2018;3032;503;1850203;1302
2018;449;505;1850203;1302
2018;543;506;1850203;1302
2018;524;507;1850203;1302
2018;309;508;1850203;1302
2018;1217;509;1850203;1302
2018;584;510;1850203;1302
2018;769;511;1850203;1302
2018;819;512;1850203;1302
2018;2390;502;1850204;1302
2018;1395;503;1850204;1302
2018;1922;504;1850204;1302
2018;261;505;1850204;1302
2018;246;506;1850204;1302
2018;454;507;1850204;1302
2018;283;508;1850204;1302
2018;1066;509;1850204;1302
2018;299;510;1850204;1302
2018;842;511;1850204;1302
2018;504;512;1850204;1302
2018;387;501;1850205;1302
2018;329;502;1850205;1302
2018;223;503;1850205;1302
2018;339;504;1850205;1302
2018;1104;505;1850205;1302
2018;316;506;1850205;1302
2018;319;507;1850205;1302
2018;185;508;1850205;1302
2018;2605;509;1850205;1302
2018;288;511;1850205;1302
2018;220;512;1850205;1302
2018;491;501;1850206;1302
2018;906;502;1850206;1302
2018;352;503;1850206;1302
2018;310;504;1850206;1302
2018;167;505;1850206;1302
2018;190;506;1850206;1302
2018;420;507;1850206;1302
2018;176;508;1850206;1302
2018;395;509;1850206;1302
2018;233;510;1850206;1302
2018;356;512;1850206;1302
2018;714;501;1850207;1302
2018;258;503;1850207;1302
2018;321;504;1850207;1302
2018;72;505;1850207;1302
2018;83;506;1850207;1302
2018;117;507;1850207;1302
2018;114;508;1850207;1302
2018;176;509;1850207;1302
2018;76;510;1850207;1302
2018;2004;511;1850207;1302
2018;135;512;1850207;1302
2018;910;501;1850208;1302
2018;478;502;1850208;1302
2018;847;504;1850208;1302
2018;55;505;1850208;1302
2018;45;506;1850208;1302
2018;46;507;1850208;1302
2018;49;508;1850208;1302
2018;180;509;1850208;1302
2018;54;510;1850208;1302
2018;101;511;1850208;1302
2018;350;512;1850208;1302
2018;131;501;1850209;1302
2018;435;502;1850209;1302
2018;1021;503;1850209;1302
2018;173;504;1850209;1302
2018;70;505;1850209;1302
2018;148;506;1850209;1302
2018;58;507;1850209;1302
2018;55;508;1850209;1302
2018;143;509;1850209;1302
2018;113;510;1850209;1302
2018;303;511;1850209;1302
2018;159;501;1850210;1302
2018;144;502;1850210;1302
2018;93;503;1850210;1302
2018;117;504;1850210;1302
2018;51;505;1850210;1302
2018;61;506;1850210;1302
2018;1326;507;1850210;1302
2018;148;509;1850210;1302
2018;110;510;1850210;1302
2018;91;511;1850210;1302
