WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131
1;1;28;Wittmann;Mechthilde;15;28;20832;3323;171;117;136;303;17509;385;161;142;97;37;77;59;122;84;74;65;95;148;103;79;101;51;175;154;53;44;48;45;75;69;53
1;1;29;Theiss;Dr. Hans;20;29;20472;9940;877;487;608;427;448;828;535;546;10.532;137;232;167;242;238;148;196;285;393;189;339;311;130;451;452;123;132;168;136;275;151;289
1;1;30;Brannekämper;Robert;22;30;20271;2335;114;17936;348;83;96;157;268;102;91;28;43;22;42;68;32;55;61;60;26;53;82;39;155;114;16;21;25;22;42;25;45
1;1;31;Pickert;Tina;39;31;18817;2689;118;115;144;16128;301;197;147;290;86;31;38;31;76;75;48;31;56;105;34;64;55;66;164;111;25;44;22;27;88;36;64
1;1;32;Goppel;Dr. Thomas;12;32;15766;15766;410;254;314;212;260;426;306;279;159;114;322;267;238;189;154;184;335;1.058;104;6.792;586;230;348;599;137;122;147;126;456;153;485
1;1;33;Fröschl;Markus;16;33;15566;15566;106;75;109;60;72;152;111;74;51;984;198;3.189;122;203;214;279;216;163;93;210;209;598;165;153;174;198;328;211;126;6.428;295
1;1;34;Kiechle;Dr. Marion;5;34;14560;14560;602;663;784;617;837;909;914;714;410;148;369;219;410;341;198;249;438;582;221;432;841;196;738;770;194;196;237;223;434;248;426
1;1;35;Artmann;Daniel;9;35;14503;14503;56;68;56;67;51;65;55;67;87;70;135;313;81;265;65;75;107;96;50;98;1.062;159;130;119;51;46;5.389;4.834;81;586;119
1;1;36;Schreder;Thomas;18;36;10586;10586;87;49;77;65;53;95;93;64;54;92;153;146;144;378;129;6.212;750;164;98;134;123;156;252;110;98;75;150;160;134;118;173
1;1;37;Scheitz;Georg;41;37;10466;10466;195;151;224;168;168;255;159;162;124;129;440;232;277;192;226;202;237;567;131;1.002;320;165;265;367;198;152;162;168;2.094;184;1.150
1;1;38;Kittenrainer;Georg;32;38;10073;10073;80;100;132;114;91;167;106;80;72;142;448;290;154;139;146;167;149;186;73;182;5.105;114;144;212;113;110;247;368;135;229;278
1;1;39;Haas;August;27;39;9762;9762;76;67;60;67;127;188;76;48;35;107;116;148;4.767;137;210;176;337;753;83;393;133;175;226;88;342;242;99;99;98;68;221
1;1;40;Moser;Christian;37;40;8504;8504;11;18;17;16;12;28;13;21;12;19;28;30;132;24;86;28;331;51;78;34;25;15;48;21;2.851;4.432;26;26;27;13;31
1;1;41;Schwaiger;Johann;17;41;8362;8362;112;88;120;84;99;199;135;72;70;88;207;155;198;3.540;105;276;275;249;87;177;309;136;302;212;124;111;112;230;113;152;225
1;1;42;Schickel;Dr. Matthias;42;42;7804;7804;9;15;16;19;15;26;15;12;14;13;24;19;28;18;1.317;18;27;31;4.890;24;15;16;29;14;622;465;10;12;25;15;31
1;1;43;Heimisch;Alexander;29;43;7700;7700;16;8;13;13;6;14;13;16;8;8;18;14;13;13;6.426;10;17;28;529;22;15;50;16;17;229;96;10;6;29;14;13
1;1;44;Pollmann;Stephanie;40;44;6571;6571;35;35;53;56;34;77;40;27;33;1.227;56;66;62;45;55;89;57;74;39;85;67;3.747;77;50;36;45;74;59;42;54;75
1;1;45;Heese;Lutz;28;45;2233;2233;97;278;98;103;89;134;88;118;77;23;56;34;69;49;37;39;56;69;47;80;75;27;104;108;33;32;38;42;69;29;35
1;1;46;Picker;Rolf-Jürgen;38;46;1642;1642;11;12;18;36;17;16;12;14;7;8;151;15;8;13;8;5;11;86;10;77;27;9;23;49;6;6;10;4;775;22;176
1;2;1;Kohnen;Natascha;1;1;127592;116375;5043;4584;6529;6047;4440;5893;5825;4797;4.647;2.112;3.612;2.187;3.891;4.239;2.822;2.752;3.522;5.038;2.133;4.005;2.720;1.401;6.597;11.217;1.766;2.239;2.839;2.984;4.010;3.383;4.318
1;2;2;Rinderspacher;Markus;2;2;28791;18694;773;935;1036;895;788;954;10097;618;550;276;399;270;482;619;341;321;460;634;261;466;336;167;921;3.650;197;304;284;405;440;346;566
1;2;3;Rauscher;Doris;3;3;18720;9185;320;236;359;366;377;332;377;270;239;201;225;178;343;9.535;157;730;263;354;166;269;175;202;462;743;139;159;249;476;166;305;347
1;2;4;Ritter;Florian;4;4;14633;4539;337;140;382;370;384;10094;425;269;237;47;81;43;155;127;32;49;103;231;51;108;58;34;162;259;42;57;63;43;83;69;98
1;2;5;Brunn von;Florian;14;5;14126;2582;306;97;11544;168;137;171;187;99;174;26;161;15;64;70;15;44;43;69;15;50;46;9;97;238;14;37;34;36;67;31;62
1;2;6;Waldmann;Ruth;11;6;14012;3278;236;137;232;10734;397;216;215;398;189;22;40;16;99;76;26;52;54;94;34;62;33;17;147;179;24;34;33;47;58;35;76
1;2;7;Stachowitz;Diana;23;7;13402;3405;221;147;239;360;9997;295;188;214;161;32;42;27;136;169;71;52;84;123;44;69;38;25;153;162;37;47;42;35;62;41;89
1;2;8;Zacharias;Isabell;7;8;13210;4050;229;216;305;649;349;283;253;9160;317;28;62;25;105;85;29;48;148;80;28;52;40;18;148;270;15;27;33;43;75;35;55
1;2;9;Güll;Martin;6;9;12857;2646;114;71;120;146;112;138;123;96;105;36;49;94;10.211;94;43;41;150;146;55;95;33;28;123;104;88;195;41;38;48;38;82
1;2;10;Kern;Christiane;19;10;12221;5613;322;223;367;389;294;352;325;252;246;79;109;75;184;208;78;114;152;218;104;133;62;43;267;360;59;100;103;86;6.608;107;202
1;2;11;Ganssmüller-Maluche;Annette;13;11;12014;1571;37;48;52;53;47;43;39;57;50;11;28;11;47;63;10;46;112;37;33;28;15;3;10.443;552;8;20;22;16;39;11;33
1;2;12;Knoblauch;Günther;10;12;11944;6323;72;53;72;79;57;69;69;63;44;5.621;44;104;43;104;25;122;51;78;27;46;34;3.923;71;85;13;42;79;120;42;630;62
1;2;13;Falk;Peter;16;13;11045;2940;88;68;119;122;102;191;97;105;92;22;58;25;311;72;34;44;65;8.105;44;525;42;37;101;165;24;40;43;47;109;56;92
1;2;14;Wenngatz;Micky;17;14;10470;1004;9466;37;202;74;68;107;63;38;80;4;20;7;14;14;7;13;9;35;11;16;6;6;34;68;5;5;9;8;11;9;24
1;2;15;Winklmeier;Christian;18;15;10203;2847;56;34;58;45;31;53;25;45;38;18;22;11;28;23;10;15;25;787;13;7.356;9;6;31;59;6;14;14;9;1.301;18;43
1;2;16;Parzinger;Sepp;8;16;10031;3367;105;93;152;143;98;120;101;87;99;94;87;685;90;128;54;57;116;88;53;55;46;44;84;127;86;38;148;97;77;6.664;115
1;2;17;Malm;Dr. Mike;20;17;9138;1132;54;8006;59;80;68;53;119;59;84;13;26;13;38;24;16;19;26;35;20;38;10;7;55;52;12;26;17;23;36;19;31
1;2;18;Spaeth;Dr. Christoph;22;18;8935;3684;65;46;83;79;62;75;54;84;79;36;38;29;45;40;1.564;49;49;66;5.251;44;27;9;67;62;308;375;40;47;48;41;73
1;2;19;Ott;Dr. Michael;26;19;8822;1525;102;85;133;142;92;89;98;140;7.297;20;24;11;41;31;14;27;42;51;32;27;18;11;64;57;19;19;23;19;37;18;39
1;2;20;Burgmaier;Alexandra;9;20;8304;2456;64;33;74;63;44;67;71;62;43;26;45;53;50;69;28;41;39;47;21;30;147;24;54;102;22;15;921;5.848;35;109;57
1;2;21;De Lapuente;Christian;12;21;8147;2912;17;9;34;23;22;28;38;23;20;16;22;7;38;26;5.235;19;40;34;1.615;18;4;8;21;20;265;415;16;19;22;26;47
1;2;22;Streit;Dominik;27;22;7340;663;19;4;17;12;12;18;5;18;26;5;105;6;6;7;5;5;8;18;5;160;4;3;9;15;12;3;9;0;139;8;6.677
1;2;23;Käser;Markus;24;23;7079;1197;23;17;42;43;21;23;17;28;39;9;12;10;100;18;48;14;116;31;77;25;9;4;27;28;320;5.882;21;15;16;17;27
1;2;24;Aigner;Susanne;21;24;7051;2571;91;58;102;110;107;80;131;70;86;119;72;4.480;101;114;43;62;62;77;44;75;46;40;91;87;46;51;62;58;50;338;98
1;2;25;Eichinger;Gertrud;5;25;6909;1689;47;37;63;57;49;42;60;53;59;27;27;20;49;327;42;5.220;164;54;30;51;23;24;99;75;20;39;33;31;22;26;39
1;2;26;Maier;Kilian;30;26;6630;2889;38;30;60;47;42;41;46;44;39;1.735;19;86;41;31;29;26;47;50;28;69;17;3.741;54;48;8;25;35;26;28;59;41
1;2;27;Promann;Britta;25;27;6116;1197;9;7;13;7;6;3;8;8;1;25;20;65;11;63;10;10;6;15;4;7;63;16;3;23;7;9;4.919;619;5;126;28
1;2;28;Grill;Markus;31;28;5689;933;21;16;19;22;20;22;25;17;13;18;11;33;83;57;9;172;4.756;27;11;24;10;20;71;17;11;65;21;23;15;33;27
1;2;29;Schmidt-Völlmecke;Verena;15;29;5392;957;39;25;41;60;39;37;31;47;48;9;102;13;38;37;15;16;28;29;15;29;4.435;8;24;63;19;11;27;19;22;17;49
1;2;30;Kühn;Robert;29;30;5186;715;10;5;9;5;6;14;9;7;4;5;4.471;9;9;5;7;6;10;15;6;11;434;6;13;16;4;3;12;7;8;9;51
1;2;31;Fischer;Andreas;28;31;4368;1181;31;11;25;40;40;32;42;29;12;19;21;21;36;30;224;16;28;28;121;36;25;13;29;30;3.187;128;20;15;20;27;32
1;3;1;Streibl;Florian;1;1;73253;59960;1027;806;1690;934;1103;1251;1126;700;501;1.380;13.293;1.691;2.480;2.001;1.727;2.248;3.508;2.269;944;2.573;2.553;1.438;2.258;2.073;1.349;1.497;1.660;2.101;2.294;1.889;10.889
1;3;2;Piazolo;Dr. Michael;2;2;35582;27714;2013;1442;7868;1402;1313;1560;1811;1108;1.008;258;2.594;196;710;919;272;549;1.100;1.073;214;676;539;349;1.527;1.805;217;269;400;575;981;353;481
1;3;3;Zierer;Benno;4;3;31200;12001;160;137;246;168;221;199;166;113;103;267;505;278;1.024;454;313;1.982;19.199;403;99;339;408;445;854;294;410;723;315;394;230;354;397
