jahr;stimmen;stimmkreis;kandidat;partei
2018;1984;208;1820807;1308
2018;1699;203;1820808;1308
2018;1289;204;1820809;1308
2018;965;207;1820811;1308
2018;770;201;1820812;1308
2018;238;201;1820901;1309
2018;9850;201;1821101;1311
2018;11211;202;1821102;1311
2018;11410;205;1821103;1311
2018;8726;206;1821104;1311
2018;11600;207;1821105;1311
2018;9909;204;1821106;1311
2018;7511;208;1821107;1311
2018;10437;209;1821108;1311
2018;7169;203;1821109;1311
2018;910;204;1821301;1313
2018;523;203;1821302;1313
2018;540;208;1821303;1313
2018;1010;204;1821702;1317
2018;312;201;1821801;1318
2018;30297;121;1810101;1301
2018;29105;122;1810102;1301
2018;24902;106;1810103;1301
2018;24986;117;1810104;1301
2018;28554;112;1810105;1301
2018;35040;131;1810106;1301
2018;14089;108;1810107;1301
2018;32208;115;1810108;1301
2018;35139;111;1810109;1301
2018;34085;120;1810110;1301
2018;29564;124;1810111;1301
2018;30752;128;1810112;1301
2018;21934;107;1810113;1301
2018;29038;116;1810114;1301
2018;29713;130;1810115;1301
2018;29019;127;1810116;1301
2018;29373;118;1810117;1301
2018;20734;119;1810118;1301
2018;28202;123;1810119;1301
2018;28381;114;1810120;1301
2018;23585;110;1810121;1301
2018;27612;113;1810122;1301
2018;20721;101;1810123;1301
2018;24946;129;1810124;1301
2018;21512;126;1810125;1301
2018;20292;125;1810126;1301
2018;20234;103;1810127;1301
2018;17509;105;1810128;1301
2018;10532;109;1810129;1301
2018;17936;102;1810130;1301
2018;16128;104;1810131;1301
2018;11217;124;1810201;1302
2018;10097;107;1810202;1302
2018;9535;114;1810203;1302
2018;10094;106;1810204;1302
2018;11544;103;1810205;1302
2018;10734;104;1810206;1302
2018;9997;105;1810207;1302
2018;9160;108;1810208;1302
2018;10211;113;1810209;1302
2018;6608;129;1810210;1302
2018;10443;123;1810211;1302
2018;5621;110;1810212;1302
2018;8105;118;1810213;1302
2018;9466;101;1810214;1302
2018;7356;120;1810215;1302
2018;6664;130;1810216;1302
2018;8006;102;1810217;1302
2018;5251;119;1810218;1302
2018;7297;109;1810219;1302
2018;5848;128;1810220;1302
2018;5235;115;1810221;1302
2018;6677;131;1810222;1302
2018;5882;126;1810223;1302
2018;4480;112;1810224;1302
2018;5220;116;1810225;1302
2018;3741;122;1810226;1302
2018;4919;127;1810227;1302
2018;4756;117;1810228;1302
2018;4435;121;1810229;1302
2018;4471;111;1810230;1302
2018;3187;125;1810231;1302
2018;13293;111;1810301;1303
2018;7868;103;1810302;1303
2018;19199;117;1810303;1303
2018;14940;131;1810304;1303
2018;16815;125;1810305;1303
2018;11227;123;1810306;1303
2018;10078;115;1810307;1303
2018;11286;118;1810308;1303
2018;9742;128;1810309;1303
2018;9975;127;1810310;1303
2018;7564;124;1810311;1303
2018;11091;113;1810312;1303
2018;9680;130;1810313;1303
2018;10531;116;1810314;1303
2018;9254;120;1810315;1303
2018;9103;112;1810316;1303
2018;7959;110;1810317;1303
2018;9237;129;1810318;1303
2018;8043;126;1810319;1303
2018;2657;109;1810320;1303
2018;7430;121;1810321;1303
2018;6449;114;1810322;1303
2018;6089;122;1810323;1303
2018;4270;119;1810324;1303
2018;4463;105;1810325;1303
2018;4247;104;1810326;1303
2018;4976;107;1810327;1303
2018;4470;101;1810328;1303
2018;4158;102;1810329;1303
2018;4757;106;1810330;1303
2018;3092;108;1810333;1303
2018;27361;104;1810401;1304
2018;30369;109;1810402;1304
2018;15669;130;1810403;1304
2018;28972;103;1810404;1304
2018;22786;118;1810405;1304
2018;23797;108;1810406;1304
2018;22622;106;1810407;1304
2018;21649;124;1810408;1304
2018;21059;123;1810409;1304
2018;18293;131;1810410;1304
2018;23488;120;1810411;1304
2018;21905;117;1810412;1304
2018;21641;129;1810413;1304
2018;19312;101;1810414;1304
2018;17600;107;1810415;1304
2018;19056;111;1810416;1304
2018;17572;105;1810417;1304
2018;16337;127;1810418;1304
2018;16582;114;1810419;1304
2018;10677;112;1810420;1304
2018;16463;102;1810421;1304
2018;13237;128;1810422;1304
2018;11848;116;1810423;1304
2018;12851;113;1810424;1304
2018;11086;121;1810425;1304
2018;6087;110;1810426;1304
2018;9068;119;1810427;1304
2018;8852;115;1810429;1304
2018;6748;122;1810430;1304
2018;6821;126;1810431;1304
2018;5925;125;1810432;1304
2018;4400;127;1810501;1305
2018;9442;124;1810502;1305
2018;8862;108;1810503;1305
2018;5300;105;1810504;1305
2018;7815;103;1810505;1305
2018;7807;129;1810506;1305
2018;6073;102;1810507;1305
2018;7011;123;1810508;1305
2018;6720;104;1810509;1305
2018;6092;109;1810510;1305
2018;5515;120;1810511;1305
2018;3283;121;1810512;1305
2018;3072;130;1810513;1305
2018;5480;101;1810514;1305
2018;4471;131;1810515;1305
2018;4257;119;1810516;1305
2018;6093;106;1810517;1305
2018;4474;128;1810518;1305
2018;4724;113;1810519;1305
2018;5665;126;1810520;1305
2018;5496;118;1810521;1305
2018;5106;107;1810522;1305
2018;5270;114;1810523;1305
2018;4109;111;1810524;1305
2018;4182;117;1810525;1305
2018;3316;115;1810526;1305
2018;3256;116;1810527;1305
2018;2099;110;1810528;1305
2018;2351;112;1810529;1305
2018;1760;125;1810530;1305
2018;1843;122;1810531;1305
2018;3891;104;1810601;1306
2018;3368;119;1810602;1306
2018;4614;109;1810603;1306
2018;3138;106;1810604;1306
2018;4535;103;1810605;1306
2018;2853;117;1810606;1306
2018;2296;130;1810607;1306
2018;2781;105;1810608;1306
2018;2426;128;1810609;1306
2018;3444;101;1810610;1306
2018;2150;127;1810611;1306
2018;2000;114;1810612;1306
2018;2909;108;1810613;1306
2018;2876;120;1810614;1306
2018;2299;102;1810615;1306
2018;2721;123;1810616;1306
2018;1965;124;1810617;1306
2018;1712;112;1810618;1306
2018;2529;107;1810619;1306
2018;2230;118;1810620;1306
2018;2240;131;1810621;1306
2018;1775;113;1810622;1306
2018;1862;115;1810623;1306
2018;1930;111;1810624;1306
2018;1794;116;1810625;1306
2018;1895;129;1810626;1306
2018;1337;110;1810627;1306
2018;1337;126;1810629;1306
2018;1176;125;1810631;1306
2018;1322;121;1810632;1306
2018;1271;122;1810633;1306
2018;3250;128;1810701;1307
2018;4448;130;1810702;1307
2018;2505;111;1810703;1307
2018;828;102;1810704;1307
2018;3575;127;1810705;1307
2018;3182;131;1810706;1307
2018;2192;112;1810707;1307
2018;2708;116;1810708;1307
2018;2411;115;1810709;1307
2018;2645;120;1810710;1307
2018;1017;107;1810711;1307
2018;2093;114;1810712;1307
2018;2036;122;1810713;1307
2018;945;103;1810714;1307
2018;1725;117;1810715;1307
2018;1636;129;1810716;1307
2018;1466;125;1810717;1307
2018;1910;113;1810718;1307
2018;632;104;1810719;1307
2018;1447;118;1810720;1307
2018;1357;123;1810721;1307
2018;1689;121;1810722;1307
2018;1439;124;1810723;1307
2018;535;109;1810724;1307
2018;1357;110;1810725;1307
2018;897;119;1810726;1307
2018;1241;126;1810727;1307
2018;1013;106;1810728;1307
2018;885;105;1810729;1307
2018;863;101;1810730;1307
2018;429;108;1810740;1307
2018;1050;108;1810801;1308
2018;1682;106;1810802;1308
2018;3044;131;1810803;1308
2018;2243;116;1810805;1308
2018;1317;110;1810806;1308
2018;1707;103;1810807;1308
2018;1685;128;1810808;1308
2018;2217;120;1810809;1308
2018;1362;107;1810810;1308
2018;1040;129;1810811;1308
2018;1476;114;1810812;1308
2018;1424;105;1810813;1308
2018;1552;127;1810814;1308
2018;1316;101;1810815;1308
2018;1407;115;1810816;1308
2018;1488;122;1810817;1308
2018;1406;111;1810818;1308
2018;1357;113;1810819;1308
2018;1280;117;1810820;1308
2018;1210;126;1810821;1308
2018;1014;112;1810822;1308
2018;1068;109;1810823;1308
2018;1124;118;1810824;1308
2018;1043;121;1810825;1308
2018;1124;102;1810827;1308
2018;1030;124;1810828;1308
2018;607;125;1810829;1308
2018;1070;104;1810830;1308
2018;920;119;1810831;1308
2018;1024;123;1810832;1308
2018;841;130;1810833;1308
2018;362;105;1810901;1309
2018;485;101;1810902;1309
2018;456;127;1810903;1309
2018;420;108;1810904;1309
2018;467;102;1810905;1309
2018;421;128;1810906;1309
